Classification, Text
neutral, flying southwest for the first time to lga with a layover in atlanta 
positive, hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more 
positive, thank you we ll be in touch #moveaboutthecountry
negative, fjbfsc all i need is receipt showing the charge i have on my amex not the xx that i keep getting sent
negative, what do i need to do when tsa pre doesn t show for a flight of mine 
negative, getting the run around today with customer servicedisconnected customer relations # given twice help 
negative, have been doing that for hours already
positive, flight from bwi to isp ready to go thanks for keeping us warm #frigidfriday
positive, lovelovelove this southwest rocks alwaysu 
neutral, who can i contact about requesting a charity donation 
positive, shout out to the flight # crew for taking amazing care of us on our double down flight 
neutral, what is the status on flight# stl aus 
positive, please do hate having to fly a different airline you re my fav 
negative, after flying delta this weekgogo was so good the tweet i sent you didn t even send until we landed that s how bad it was 
positive, sure thing
negative, why did you book my hotel twice ahhhhh
positive, save mile to visit family in and this will impact how many times i can see my mother i planned and you change the rules
positive, jackpot #legroom
negative, you were my go to airline now not so much you say you care but i now see not so much right nowyou suck 
negative, i have been loyal to southwest from the beginning but very unhappy about your devaluation 
neutral,id is my favorite band and i met mybestfriends thanks to them it would be life changing to see them 
positive, i live in the southwestimagine dragons is my favorite bandand i met mybestfriends thanks to them it would be amazing
negative, longer flights with series no wifi will be great when you retire them 
negative, excruciatingly slow internet on swa flights is now the normrather than the exception is this being addressed 
neutral, yesthank you just sent
neutral, when is the last chance to gettickets i would die of happiness if i won 
negative, the in browser hover over is intrusive and annoying and the fact that the wifi only works on one device is sort of sad 
negative, the sign in screen had major mobile issuesthe responsive design wasn t working properly my nexus 
negative, sure did also read on there that southwest doesn t believe it is liable for the incident how is it my fault that sw lost it 
negative, what s up with the new in flight wifi service super crappy user experience miss the old provider
negative, it s too damn cold to be sitting on this runway with no heat 
neutral, can you please follow so i canthx 
neutral, sent 
positive, i love you air travel doesn t get easier 
